AuthenticProd_id,Brand,Product_Name,Gender,Color,Size,Absorb,other,Count,Pack,Count_pack,EAN,Image,Max_price,Min_price,Product_Name_full,Slug,UPC,MasterProduct_id,AuthenticProd_id,Family_ID,Amazon,Amazon Canada,Amazon Prime Pantry,Bed Bath And Beyond,Bjs,Boxed,CVS,Costco,Costco Canada,Dollar General,HEB,Instacart,Kroger,Rakuten,Sam's Club,Target,Walgreens,Walmart,Walmart Canada
157152,depend,fit-flex underwear,women,BEIGE,S,MAXIMUM,46 ct,46,1,46 ct,36000484403,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/12/13280912.jpg,34.99,0.00,Depend Fit-Flex Underwear for Women Maximum Beige S 46 ct,depend-fit-flex-underwear-for-women-maximum-beige-s-46-ct,36000484403,13280912,157152,17633,,34.99,,,,,26.49,,,,,,,,,24.99,25.99,26.15,
146,depend,fit-flex underwear,men,GREY,L,MAXIMUM,52 ct,52,1,52 ct,,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/43/13284043.jpeg,51.59,37.97,Depend Fit-Flex Underwear for Men Grey L 52 ct,depend-fit-flex-underwear-for-men-grey-l-52-ct,03600047936,13284043,146,17633,37.99,51.59,,,,,,,,,,,,,,37.99,39.99,,
157150,depend,fit-flex underwear,women,BEIGE,XL,MAXIMUM,38 ct,38,1,38 ct,0003600048442,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/51/13296651.jpg,24.99,0.00,Depend Fit-Flex Underwear for Women Maximum Beige XL 38 ct,depend-fit-flex-underwear-for-women-maximum-beige-xl-38-ct,036000484427,13296651,157150,17633,,,,,,,,,,,,,,,,24.99,,24.87,
157151,depend,fit-flex underwear,women,BEIGE,L,MAXIMUM,42 ct,42,1,42 ct,0003600048441,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/55/13296655.jpg,24.99,0.00,Depend Fit-Flex Underwear for Women Maximum Beige L 42 ct,depend-fit-flex-underwear-for-women-maximum-beige-l-42-ct,036000484410,13296655,157151,17633,,34.99,25.99,,,,,,,,,,,,,,25.99,24.87,
157151,depend,fit-flex underwear,women,BEIGE,L,MAXIMUM,80 ct,80,1,80 ct,,NA,42.99,42.99,Depend Fit-Flex Underwear for Women Maximum Beige L 80 ct,depend-fit-flex-extra-large-maximum-absorbency-underwear-for-women-80-ct,,13433697,157151,17633,,,,,42.99,,,,,,,,,,,,,,
155740,depend,real fit real fit incontinence briefs,men,GREY,S/M/,MAXIMUM,absorbency 20 count,20,1,real fit incontinence briefs for men maximum absorbency small medium 20 count,0036000339956,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/36/14017536.jpg,21.77,21.77,Depend Real Fit real fit incontinence briefs for men maximum absorbency small medium 20 count,depend-real-fit-incontinence-briefs-for-men-maximum-absorbency-small-medium-20-count,,14017536,155740,20834,,21.77,,,,,,,,,,,,,,,,,
157152,depend,fit-flex fit flex incontinence underwear,women,BEIGE,S,MAXIMUM,absorbency tan packaging may vary,,,fit flex incontinence underwear for women maximum absorbency s tan packaging may vary,,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/62/14390062.jpg,33.27,33.27,Depend Fit-Flex fit flex incontinence underwear for women maximum absorbency s tan packaging may vary,depend-fit-flex-incontinence-underwear-for-women-maximum-absorbency-s-tan-packaging-may-vary,,14390062,157152,17633,,33.27,,,,,,,,,,,,,,,,,
141,depend,real fit real fit incontinence underwear,men,GREY,L/XL,MAXIMUM,absorbency,,,real fit incontinence underwear for men maximum absorbency large xl grey,,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/42/14404842.jpg,51.67,51.67,Depend Real Fit real fit incontinence underwear for men maximum absorbency large xl grey,depend-real-fit-incontinence-underwear-for-men-maximum-absorbency-large-xl-grey,,14404842,141,20834,,51.67,,,,,,,,,,,,,,,,,
159878,depend,fit-flex fit flex incontinence underwear,men,GREY,XL,MAXIMUM,absorbency gray 48 count packaging may vary,48,1,fit flex incontinence underwear for men maximum absorbency xl gray 48 count packaging may vary,,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/93/14435593.jpg,0.00,0.00,Depend Fit-Flex fit flex incontinence underwear for men maximum absorbency xl gray 48 count packaging may vary,depend-fit-flex-incontinence-underwear-for-men-maximum-absorbency-xl-gray-48-count-packaging-may-vary,,14435593,159878,17633,,,0.0,,,,,,,,,,,,,,,,
155732,depend,silhouette active fit silhouette active fit incontinence underwear,women,BLACK,L/XL,MODERATE,absorbency 56 count,56,1,silhouette active fit incontinence underwear for women moderate absorbency large xl black 56 count,,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/96/14435596.jpg,0.00,0.00,Depend Silhouette Active Fit silhouette active fit incontinence underwear for women moderate absorbency large xl black 56 count,depend-silhouette-active-fit-incontinence-underwear-for-women-moderate-absorbency-large-xl-black-56-count,,14435596,155732,39809,,,0.0,,,,,,,,,,,,,,,,
